no,type,status,summary,description
ISIS-3060,Improvement,In Progress,"[Performance] Don't copy Facets between FacetHolders, use unique FacetHolders instead","Also maybe cleanup some MM code, commented to be hackery."
ISIS-3059,Improvement,Resolved,Bump Spring Boot 2.6.7 -> 2.7.0,"Regression-tests and Demo work fine (based on H2), However, I do see glitches with a maria-db based app of mine,"
ISIS-3058,Bug,Resolved,[Regression] WicketViewer: Detached Entities on Standalone Collection of Viewmodels.,
ISIS-3057,Improvement,Closed,"move packages for excel extension applib, is all",
ISIS-3056,Bug,In Progress,[Wicket Viewer] Action Button Coloring broken on mixedin Actions,We have action button coloring based on member-id pattern matching. This seems broken when the action is mixed in.
ISIS-3055,Wish,Open,"[Wicket Viewer] Make Table Header ""Sticky""","When 'Show all' is selected for lists, the header scrolls out of the visible area alongside data rows."
ISIS-3054,Bug,Resolved,[Regression] Wicket Viewer: non-scalar autoComplete is broken,"autoComplete...() supporting methods are broken when it comes to multichoice inputs, while choices...() works perfectly fine

from https://the-asf.slack.com/archives/CFC42LWBV/p1652772052794179"
ISIS-3053,Bug,Resolved,"[Regression] Wicket Viewer: Click on no-arg Action with ARE_YOU_SURE Semantics does nothing, when has Tooltip",Client side java-script error. Bootstrap complains about popover binding only allowed once.
ISIS-3052,Bug,Open,How to get row selection and add+remove on collections?,"In ECP HRM we are on nightly version 2.0.0-M7.20220511-0321-29cd16bf

In the view of security > role manager > application role provided by Isis, one can see that both collections (permissions and users) have a additional column with checkboxes to enable selection of rows in the table. Those selections are applied to both add and remove buttons/actions in the table. See next screenshot:  !EcpHrm-SecurityRoleManagerApplicationRoleView.jpg|width=1029,height=284!

How can one apply that same behaviour to application specific domain objects. Every attempt trying to mimic this in the communication channel collection in the organisation domain object of ECP HRM fails. See next screenshot:

!EcpHrm-HowToDefineAddRemoveButtonsToCollection.jpg|width=1037,height=355!

The ""Remove communication channel"" action is defined explicitly as an mixin, but for the RoleManager collections no mixins seem to be defined. So how should this work?

 "
ISIS-3051,Improvement,Open,"[Validation] Fail early, if declared and mixed-in Actions share same Member-id.","Update: 

if a declared method and a mixed-in method share the same member-id, the declared method takes precedence - we need to change that behavior and instead fail early, with MM validation error, not allowing this sort of method action overriding
"
ISIS-3050,Bug,Closed,[Wicket Viewer] (none) badge rendering glitches,"See ECP HRM application; when a new domain object (communication channel) is created a few string fields are filled with the default value ""<span class=""badge bg-light placeholder-literal-null"">(none)</span>"". Probably the intention was ""(none)""."
ISIS-3049,Bug,In Progress,Functional issues with demo app,"- menu - domain objects - nature stateful returns error - nice kitten ;-)
- menu - prototyping - all namespaces returns error
- menu -actions - associate with - remove child : field / choice lacking
Same for 'no longer favourite'
- menu - actions - domain event is broken
- menu - collections - domain event is broken
- menu - temporal type - offsetdatetime: date picker / validation issue
Same with offset time
Same with zoned
- menu - more types - calendar events is broken"
ISIS-3048,Improvement,Open,Suggested UI improvements (after review demo app),"- menu - actions - dependent arguments - multichoices: lacks spacing line between arguments in pop-up


- menu -featured - tabdemo: after editing a property on 2nd or 3rd tab, the ui returns to the first tab - I would like it to remain on the tab of the property

(My personal taste)
- some black lines maybe too black compared to rest of the page? (Like separation line between headers and collection details)"
ISIS-3047,Improvement,Open,[kroviz] Document CORS Workaround via HTTPD,"* https://stackoverflow.com/questions/3076414/ways-to-circumvent-the-same-origin-policy
 * https://stackoverflow.com/questions/25455969/spring-boot-with-embedded-tomcat-behind-apache-proxy
 * [https://www.google.com/search?q=setup+apache+httpd+to+solve+CORS&rlz=1C1GCEA_en&oq=setup+apache+httpd+to+solve+CORS&aqs=chrome..69i57j33i160l2.17473j1j7&sourceid=chrome&ie=UTF-8]
 * [https://ubiq.co/tech-blog/enable-cors-apache-web-server/]
 * https://www.digitalocean.com/community/tutorials/how-to-install-the-apache-web-server-on-ubuntu-20-04-de"
ISIS-3046,Improvement,Closed,"isis-mavendeps-xxxtest were removed, but I think they are still in docs / pptx slide.",
ISIS-3045,Improvement,Closed,UX: Explanatory tooltip/description for 'Clear Hints' Button.,End-users most certainly don't know what the 'Clear Hints' button does.
ISIS-3044,Improvement,Reopened,[kroviz] Fix Various UI Glitches,"* LogEntry.type empty for menuBars
 * Blob sizes are not shown"
ISIS-3043,Improvement,Open,[kroviz] [Ongoing] Dependency Upgrade,"* PdfJs
 * FullCalendar
 * Photo Viewer \{ zCanvas | pixiJs | BabylonJs | Tridi | PhotoSphere | ... }
 * Video Player \{ ...}
 * etc."
ISIS-3042,Improvement,Open,[kroviz] Add some Examples (Kitchensink),"* PdfJs
 * FullCalendar
 * Photo Viewer \{ zCanvas | pixiJs | BabylonJs | Tridi | PhotoSphere | ... }
 * Video Player \{ ...}
 * etc."
ISIS-3041,Documentation,Open,[Ongoing] Site/Doc Maintenance,Ongoing task across releases.
ISIS-3040,Improvement,In Progress,[Wicket Viewer] Bring in PDF/JS (extension),Also provide a demo showcase.
ISIS-3039,Improvement,In Progress,[Wicket Viewer] Resurrect Calendar Event View (fullcalendar extension),Also provide a demo showcase.
ISIS-3038,Improvement,Closed,[Wicket Viewer] MarkupComponent to support rendering (none) badge for null,"For consistency with other value-types, markup based value types should also render a (none) badge when null."
ISIS-3037,New Feature,Closed,Persona interface to unify PersonaWithFinder and PersonaWithBuilderScript,
ISIS-3036,Improvement,Closed,[invalid] Remove BuilderScriptAbstract#setPrereq as it is now useless.,"BuilderScriptAbstract was simplified to take a single generic type, but unfortunately that breaks setPrereq which relied upon the other type.

as there are other ways of accomplishing this use case, just remove.

 

Don't forget to update the docs, though.

 "
